2017-12-29_14_18_26:	Program initilized
2017-12-29_14_18_47:	Loaded D:/3DScanProjects/3D-KORN/Source-Code/ScanRegistrationDev/chair_eze0.ply
2017-12-29_14_18_47:	Added 1 rawPC in DB. Size: 1
2017-12-29_14_18_47:	Loaded D:/3DScanProjects/3D-KORN/Source-Code/ScanRegistrationDev/chair_eze1.ply
2017-12-29_14_18_47:	Added 1 rawPC in DB. Size: 2
2017-12-29_14_18_47:	Loaded D:/3DScanProjects/3D-KORN/Source-Code/ScanRegistrationDev/chair_eze2.ply
2017-12-29_14_18_47:	Added 1 rawPC in DB. Size: 3
2017-12-29_14_18_47:	Loaded D:/3DScanProjects/3D-KORN/Source-Code/ScanRegistrationDev/chair_eze3.ply
2017-12-29_14_18_47:	Added 1 rawPC in DB. Size: 4
2017-12-29_14_18_47:	Loaded D:/3DScanProjects/3D-KORN/Source-Code/ScanRegistrationDev/chair_eze4.ply
2017-12-29_14_18_47:	Added 1 rawPC in DB. Size: 5
