2018-01-06.18:19:05:	Program initialized
2018-01-06.18:19:12:	Loaded C:/SoftEngProject/3DScan/build-MAGMA-3D-Desktop_Qt_5_7_0_MSVC2015_64bit-Release/TDK_CapturedPointCloud1.ply
2018-01-06.18:19:12:	Added 1 rawPC in DB. Size: 1
2018-01-06.18:19:12:	Loaded C:/SoftEngProject/3DScan/build-MAGMA-3D-Desktop_Qt_5_7_0_MSVC2015_64bit-Release/TDK_CapturedPointCloud2.ply
2018-01-06.18:19:12:	Added 1 rawPC in DB. Size: 2
2018-01-06.18:19:12:	Loaded C:/SoftEngProject/3DScan/build-MAGMA-3D-Desktop_Qt_5_7_0_MSVC2015_64bit-Release/TDK_CapturedPointCloud3.ply
2018-01-06.18:19:12:	Added 1 rawPC in DB. Size: 3
2018-01-06.18:19:17:	PC List clicked
2018-01-06.18:19:20:	PC List clicked
2018-01-06.18:19:22:	PC List clicked
2018-01-06.18:19:23:	PC List clicked
2018-01-06.18:19:24:	PC List clicked
