2018-01-07.19:33:04:	Program initilized
2018-01-07.19:33:09:	Loaded D:/chair_alb0.ply
2018-01-07.19:33:09:	Added 1 rawPC in DB. Size: 1
2018-01-07.19:33:09:	Loaded D:/chair_alb1.ply
2018-01-07.19:33:09:	Added 1 rawPC in DB. Size: 2
2018-01-07.19:33:13:	Processing 2 point clouds
2018-01-07.19:33:13:	Processing pair number 1
2018-01-07.19:33:15:	Finding correspondences. src: 33959 points, target: 33762 points
2018-01-07.19:33:15:	Found 2816 correspondences.
2018-01-07.19:33:15:	 ---- Running correspondence rejection on src: 2816 correspondences.
2018-01-07.19:33:15:	 ------ Total Kept 2816 correspondences (100.000000%)
2018-01-07.19:33:15:	 ------ Running ICP
2018-01-07.19:33:15:	Added 1 registeredPC in DB. Size: 1
2018-01-07.19:33:17:	Display updated
2018-01-07.19:33:41:	Main window closed
